timestamp,Temperature,Humidity,PM2.5,CO2,TVOC,CO,prediction
2026-02-05 22:47:56,33.6,65.3,0.0,355.0,5.0,0.89,Poor
2026-02-05 22:48:02,33.6,65.3,0.0,355.0,7.0,0.88,Poor
2026-02-05 22:48:08,33.7,65.3,0.0,355.0,14.0,0.88,Poor
2026-02-05 22:48:13,33.6,65.2,0.0,356.0,5.0,0.89,Poor
2026-02-05 22:48:19,33.6,65.4,0.0,357.0,7.0,0.89,Poor
2026-02-05 22:48:25,33.7,65.2,0.0,355.0,5.0,0.88,Poor
2026-02-05 22:48:30,33.7,65.3,0.0,355.0,6.0,0.89,Poor
2026-02-05 22:48:36,33.7,65.1,0.0,355.0,5.0,0.88,Poor
2026-02-05 22:48:41,33.7,65.1,0.0,355.0,6.0,0.87,Poor
2026-02-05 22:48:47,33.6,65.2,0.0,363.0,13.0,0.87,Poor
2026-02-05 22:48:56,33.6,65.3,0.0,356.0,6.0,0.88,Poor
2026-02-05 22:49:02,33.6,65.4,0.0,355.0,5.0,0.87,Poor
2026-02-05 22:49:08,33.6,65.5,0.0,363.0,14.0,0.88,Poor
2026-02-05 22:49:14,33.6,65.4,0.0,355.0,5.0,0.88,Poor
2026-02-05 22:49:20,33.6,65.2,0.0,363.0,13.0,0.88,Poor
2026-02-05 22:49:26,33.6,65.3,0.0,355.0,6.0,0.88,Poor
2026-02-05 22:49:32,33.6,65.3,0.0,362.0,13.0,0.87,Poor
2026-02-05 22:49:38,33.6,65.4,0.0,363.0,12.0,0.88,Poor
2026-02-05 22:49:44,33.6,65.2,0.0,363.0,13.0,0.88,Poor
2026-02-05 22:49:50,33.6,65.3,0.0,355.0,14.0,0.89,Poor
2026-02-05 22:49:56,33.6,65.3,0.0,363.0,14.0,0.88,Poor
2026-02-05 22:50:04,33.6,65.3,0.0,362.0,12.0,0.89,Poor
2026-02-05 22:50:09,33.6,65.3,0.0,364.0,12.0,0.87,Poor
2026-02-05 22:50:15,33.5,65.3,0.0,362.0,13.0,0.89,Poor
2026-02-05 22:50:21,33.5,65.4,0.0,361.0,11.0,0.87,Poor
2026-02-05 22:50:26,33.5,65.5,0.0,361.0,12.0,0.88,Poor
2026-02-05 22:50:35,33.5,65.5,0.0,363.0,14.0,0.89,Poor
2026-02-05 22:50:41,33.5,65.4,0.0,360.0,7.0,0.87,Poor
2026-02-05 22:50:46,33.5,65.5,0.0,360.0,12.0,0.88,Poor
2026-02-05 22:50:52,33.5,65.6,0.0,364.0,5.0,0.89,Poor
2026-02-05 22:50:57,33.5,65.4,0.0,362.0,12.0,0.87,Poor
2026-02-05 22:51:03,33.5,65.5,0.0,363.0,14.0,0.88,Poor
2026-02-05 22:51:09,33.5,65.5,0.0,362.0,12.0,0.87,Poor
2026-02-05 22:51:15,33.5,65.5,0.0,360.0,11.0,0.89,Poor
2026-02-05 22:51:20,33.5,65.5,0.0,361.0,12.0,0.88,Poor
2026-02-05 22:51:26,33.5,65.5,0.0,364.0,12.0,0.89,Poor
2026-02-05 22:51:31,33.5,65.5,0.0,362.0,13.0,0.87,Poor
2026-02-05 22:51:36,33.5,65.4,0.0,362.0,13.0,0.89,Poor
2026-02-05 22:51:42,33.5,65.6,0.0,383.0,35.0,0.88,Poor
2026-02-05 22:51:48,33.5,65.6,0.0,361.0,11.0,0.85,Poor
2026-02-05 22:51:53,33.5,65.6,0.0,362.0,13.0,0.86,Poor
2026-02-05 22:51:59,33.5,65.5,0.0,361.0,12.0,0.86,Poor
2026-02-05 22:52:05,33.5,65.6,0.0,363.0,12.0,0.87,Poor
2026-02-05 22:52:10,33.5,65.6,0.0,363.0,14.0,0.87,Poor
2026-02-05 22:52:16,33.4,65.6,0.0,362.0,9.0,0.86,Poor
2026-02-05 22:52:21,33.4,65.6,0.0,360.0,10.0,0.86,Poor
2026-02-05 22:52:27,33.4,65.6,0.0,361.0,11.0,0.87,Poor
2026-02-05 22:52:32,33.4,65.7,0.0,362.0,12.0,0.88,Poor
2026-02-05 22:52:38,33.4,65.6,0.0,362.0,10.0,0.87,Poor
2026-02-05 22:52:44,33.4,65.6,0.0,363.0,5.0,0.88,Poor
2026-02-05 22:52:50,33.4,65.6,0.0,362.0,13.0,0.87,Poor
2026-02-05 22:52:56,33.4,65.6,0.0,364.0,14.0,0.88,Poor
2026-02-05 22:53:01,33.4,65.5,0.0,364.0,14.0,0.87,Poor
